entity_name
EPS FB 
LTE邻频点
PLMN
终端
LTE频段能力
数据库连接失败
服务器连接失败
客户端连接失败
交换机连接失败
信号源连接失败
通信网连接失败
后端连接失败
前端连接失败
日志连接失败
路由器连接失败

